feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
2.8.4.3: tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.29766966749917	-0.0614602574130574	0.250486047749042	1.19409413215112e-6	8.97381267123437e-5	1.19409413215112e-6	8.97381267123437e-5	NA	abundance	105	89
2.4.2.14: Amidophosphoribosyltransferase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.12895794935088	-0.0614602574130574	0.22183768039514	1.37477268919477e-6	1.0052677287971e-4	1.37477268919477e-6	1.0052677287971e-4	NA	abundance	105	88
2.7.7.7: DNA-directed DNA polymerase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.3075746225534	-0.0614602574130574	0.25624596111032	1.5149400745096e-6	1.0878302648666e-4	1.5149400745096e-6	1.0878302648666e-4	NA	abundance	105	86
4.1.2.4: Deoxyribose-phosphate aldolase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.21794075526794	-0.0614602574130574	0.239723929387037	1.52252412195986e-6	1.0903234539484e-4	1.52252412195986e-6	1.0903234539484e-4	NA	abundance	105	90
2.7.4.3: Adenylate kinase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.20365805640812	-0.0614602574130574	0.234090914940759	1.52272582387957e-6	1.0903234539484e-4	1.52272582387957e-6	1.0903234539484e-4	NA	abundance	105	89
3.5.1.88: Peptide deformylase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCP	DietLCP	1.39450728889718	0.114219139135528	0.240227397905122	1.54470505927409e-6	1.0990053321993e-4	1.54470505927409e-6	1.0990053321993e-4	NA	abundance	105	88
2.1.1.192: 23S rRNA (adenine(2503)-C(2))-methyltransferase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.32345750165284	-0.0614602574130574	0.25969503435024	1.57294545051034e-6	1.1157465633423e-4	1.57294545051034e-6	1.1157465633423e-4	NA	abundance	105	86
2.7.2.11: Glutamate 5-kinase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.35038259587856	-0.0614602574130574	0.264283385344765	1.87127774125888e-6	1.2934844901019e-4	1.87127774125888e-6	1.2934844901019e-4	NA	abundance	105	80
5.4.99.18: 5-(carboxyamino)imidazole ribonucleotide mutase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.2884679561115	-0.0614602574130574	0.255751031843555	2.13584570193608e-6	1.4383384359361e-4	2.13584570193608e-6	1.4383384359361e-4	NA	abundance	105	87
3.4.21.53: Endopeptidase La|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.29210242678527	-0.0614602574130574	0.256993565685	2.25234351046485e-6	1.5007970449167e-4	2.25234351046485e-6	1.5007970449167e-4	NA	abundance	105	86
