F-50179122-003S	F-50179079-003S	F-50179110-003S	F-50179085-003S	F-50179129-003S	F-50179112-003S	F-50179108-003S	F-50179123-003S	F-50179133-003S	F-50179114-003S	F-50179131-003S	F-50179101-003S	F-50179077-003S	F-50179097-003S	F-50179087-003S	F-50179099-003S	F-50179071-003S	F-50179118-003S	F-50179125-003S	F-50179116-003S	F-50179106-003S	F-50179137-003S	F-50179127-003S	F-50179075-003S	F-50179083-003S	F-50179091-003S	F-50179135-003S	F-50179139-003S	F-50179120-003S	F-50179081-003S	F-50179105-003S	F-50179095-003S	F-50179089-003S	F-50179093-003S	F-50179073-003S
1.1.1.215	0	0	0	0	0.1528265237	0	0	0	0	0	0	0	0.4730971535	0.6254689912	0	0	0	0	0	0.3086509266	0	0	0	3.0068980887	1.8593927514	0	0	0.80895619	0.601398852	0	1.5314550262	0	0	0	0
1.1.1.216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.218	0.572142202	5.4059766719	13.2604712173	25.7257222277	1.1078274759	17.2664831173	6.9652597914	6.8262868844	0	21.350541128	12.2100578454	15.186976338	4.826057267	4.8353865276	4.0182360037	16.0705992104	2.2306647249	0.643148716	0.6705397255	2.5261487483	14.2649920113	2.7308389389	0	0	4.8617929855	16.3694138928	17.5279973345	2.2456436661	15.7712750387	4.6361865391	0	5.7368271342	0	3.0847834297	2.4941273794
1.1.1.22	542.8837329669	286.4239384761	973.2610269697	171.8909252764	82.7559141948	1701.4104913697	346.7402614554	194.7954647606	91.8133265341	905.9785408355	204.4791713672	1166.5621353853	209.5295946191	665.5846211151	675.9835962488	2739.451619206	70.4935997657	184.0767323217	156.5951593692	248.2766598639	860.7216460496	166.5355162039	670.8627812208	201.482027318	158.6215707609	623.3414933878	1147.4679770364	131.223673259	221.7274395832	451.6114678343	204.7279682654	214.6351468194	90.6046224957	1099.8928636261	544.5950383864
1.1.1.23	503.8169448347	434.0705362784	338.6016071823	376.3842770702	178.0149410695	217.7757930106	317.3959665062	231.8201391287	179.2653281346	285.6748490346	352.120383636	356.9882482828	360.1247104615	329.7001315936	455.6103295009	259.4282540858	349.9372660294	375.956742721	413.0118986041	365.9089962101	350.2042651922	430.2344763765	447.8692708308	610.3468892894	381.9604300833	405.3706521337	383.2452260168	497.9450109746	397.5792215801	339.2101426273	292.8056086298	363.4450176747	347.108134376	528.9448075676	424.3222177434
1.1.1.236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.326905915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.237	0	0	0	0	30.3694767379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4324301191	0	2.2195975453	1.4835246667	0	0	0
1.1.1.244	0	0	0	0	0	0	0	0	0	4.4566236519	2.1166415761	0	1.0836958849	0	0	3.1267479207	0	0	0	0	1.386832782	0	0	0	1.7302295349	0	0	0	0	0	0	1.1041120844	0	0	0
1.1.1.25	145.6908329041	190.8031286151	265.627968767	269.9978624331	124.2770740822	180.0663637459	218.1234066647	313.5157642126	225.1705278608	285.804581461	301.9771397793	296.8522468592	344.377161691	283.176143082	129.2800055723	202.2123238477	199.3689571192	236.1222567809	302.0053138138	191.4943222876	228.094900569	244.1799030592	183.9662175186	302.9486610712	355.8531610396	297.2316798166	245.5995473788	208.1367135042	280.2106328975	268.5200073183	223.7501618769	384.6300045573	257.6736456787	213.183791765	128.1448034127
1.1.1.250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
