F-50179221-003S	F-50179155-003S	F-50179247-003S	F-50179145-003S	F-50179263-003S	F-50179227-003S	F-50179243-003S	F-50179060-003S	F-50179271-003S	F-50179229-003S	F-50179267-003S	F-50179200-003S	F-50179151-003S	F-50179192-003S	F-50179147-003S	F-50179196-003S	F-50179186-003S	F-50179213-003S	F-50179062-003S	F-50179233-003S	F-50179239-003S	F-50179253-003S	F-50179066-003S	F-50179169-003S	F-50179161-003S	F-50179205-003S	F-50179249-003S	F-50179259-003S	F-50179219-003S	F-50179159-003S	F-50179184-003S	F-50179190-003S	F-50179203-003S	F-50179209-003S	F-50179167-003S
1.1.1.255	0	0	0	0	0	0	0	0	0	0	0	0	68.9106685161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.26	0	0	0	3.6013414595	1.1205951473	0	2.8252965723	4.0417210915	0	0	0	1.7143291154	0	1.0397520098	0	2.085094348	1.403102434	0	3.4017175041	1.0650813769	0	1.0732076681	0	0	0	0	0	2.5007099126	0	0	0	0	0	0	0
1.1.1.261	0	1.3561169082	1.1730459444	0.6962865207	0	0	3.9099569629	2.9871454084	10.1480042613	0	2.1385278668	5.3356236409	9.0385866741	4.3345190985	0	0	0	0	0	1.9351322808	0	1.5335061804	0	0	1.6794860211	0	4.419749536	0	3.1306120121	1.431995566	2.1708142088	1.7658393448	1.3071499804	1.5098437434	0
1.1.1.262	0	5.073373031	0	8.3642814453	11.5094872384	5.4760634865	6.0905424884	0	9.5951675229	0	0	37.4200195102	9.7470657428	9.6131412221	85.0526108763	10.5029520084	8.7356721675	7.0403962357	3.7545441187	22.0827529287	2.193696028	3.701747002	24.5288755627	6.0181661402	2.5667129967	16.5979268381	6.5651342234	5.3122745624	3.2541239653	4.3884228052	9.2266154735	5.1469395676	2.2091139464	2.9368250005	5.927496135
1.1.1.263	0	0	0	0.5555031929	0	1.5373710774	0	0	0.323004475	0	0.9331296272	0	6.5066033071	0	0	1.548392787	0	0	0	0	0	0	0	0	0	1.1142596784	0	1.2419173223	0	0	1.0951694228	1.3262466289	0	0	0
1.1.1.264	0	2.8228645587	0	0	1.3918537301	0	0	0	0.7172178572	0	0	0	2.4966013126	0	0	0	1.6900974448	0	0	0	0	0	0	0	0	0	6.0216887735	0	0	0	1.1215008211	0	0	0	0
1.1.1.267	301.8055013546	353.0284064397	408.1480479289	414.0221915334	404.137800325	385.0470445859	400.6676095057	356.2806437076	379.1545254608	399.7000029861	397.4013503099	379.0974101903	410.7738009317	360.9713532286	554.2949560433	315.6031118825	323.5784532915	406.9637988099	437.0071379332	405.0114923765	350.7578173151	383.1984486	469.6459084983	429.9098570468	376.7449661527	379.8519265963	355.8495159261	407.3162130729	356.38388476	380.2688171022	404.1399432284	383.6253921187	369.4571376455	393.5761048606	445.9121540941
1.1.1.268	0	0	0	0.8278414302	0.814242532	0	3.5016976578	7.8595097948	1.335445217	0	6.7226231177	0	0	0.6526772471	0	0	0.4412591298	0	0	0	0	0	0	3.7234696263	0	3.7872975241	0	0	0	2.4736912618	0	1.0531958524	0	0	0
1.1.1.269	0	0	0	0	0	0	0.924151368	7.8595097948	8.0280770807	0	0	0	3.0570678576	0	0	0	2.9311732396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0531958524	0	0	0
1.1.1.27	209.1412204519	273.7110409727	362.0146069215	226.2654473693	288.1077065106	354.7491268245	257.9582240054	331.0442590171	225.3537590637	352.2272891957	377.8090213278	294.2393231198	337.9314179435	404.1450486911	172.9433841154	498.9236720155	560.2516198137	357.2482113366	365.4758915026	311.8828818423	315.1625855996	324.9406598757	261.0284453687	135.9951233717	328.2193816666	310.768566021	251.4443555667	245.8273628778	257.9914553824	332.1487004865	175.0855012086	268.0358010043	365.723584953	311.9297889998	200.7775443118
1.1.1.271	3.1193741709	10.3086919228	0	23.1126359523	14.8851526918	8.1286598364	22.2491634579	6.1306573267	15.5496126309	10.2528097872	1.4042683066	36.8365911766	4.3629256805	17.7570506248	40.2062152397	9.9194231765	14.2604719373	7.543733089	2.2384653803	12.8681704478	8.0783622005	6.3360991423	8.5640051126	9.2019034411	2.5755891764	16.3902720877	7.0521547222	6.1341935187	7.2329621152	6.7802406779	17.0006672926	7.3492798791	0	6.3286405506	7.2575621068
1.1.1.272	0	6.3958150189	0.6970639823	2.1365898004	0	5.4754784869	3.6860545382	1.7169944165	2.533219573	7.8983130299	0	1.9841400426	1.5519492614	9.7034449256	5.0256128086	10.4743061317	13.9222040538	0	4.5866880789	1.2053689732	0	4.7706755144	2.1093498322	0	3.6109083281	0	0	2.4974662369	0	1.5397807414	1.5967112866	0	2.106352356	0	0
