	F-50179122-003S	F-50179079-003S	F-50179110-003S	F-50179085-003S	F-50179129-003S	F-50179112-003S	F-50179108-003S	F-50179123-003S	F-50179133-003S	F-50179114-003S	F-50179131-003S	F-50179101-003S	F-50179077-003S	F-50179097-003S	F-50179087-003S	F-50179099-003S	F-50179071-003S	F-50179118-003S	F-50179125-003S	F-50179116-003S	F-50179106-003S	F-50179137-003S	F-50179127-003S	F-50179075-003S	F-50179083-003S	F-50179091-003S	F-50179135-003S	F-50179139-003S	F-50179120-003S	F-50179081-003S	F-50179105-003S	F-50179095-003S	F-50179089-003S	F-50179093-003S	F-50179073-003S
4-guanidinobutanoate	0.9428	1.593	1.2724	1.1674	1.1413	1.3141	1.9398	0.8188	2.0353	2.1106	1.3687	0.63	1.6792	1.5319	1.2576	0.6446	0.7897	0.7506	1.3705	1.5216	0.715	1.3112	1.3367	2.0681	1.1514	1.5487	1.1913	1.2296	1.0833	0.6169	0.5384	0.87	0.795	0.7475	1.7229
cysteinylglycine	1.053	0.891	1.1582	2.5101	1.8703	1.2437	1.6748	1.6931	1.2373	0.2999	1.3117	1.7415	0.8671	0.393	1.1618	1.4117	1.4797	1.4373	1.4148	1.5469	1.3097	2.212	1.0765	1.8322	1.1549	0.608	1.1952	2.1579	1.3423	0.9719	2.8727	1.5885	1.2865	1.0579	1.2115
5-oxoproline	1.3424	1.0846	1.1868	5.5838	3.9969	1.5618	2.7113	1.4213	3.8054	1.4143	1.9462	0.883	1.7132	0.7171	0.8582	0.9519	0.8357	1.516	2.1221	1.6523	0.9499	2.2076	1.6968	1.8609	0.9774	1.8715	0.9992	1.4741	0.932	1.4764	36.111	0.8303	1.2589	0.7237	1.3603
2-hydroxybutyrate/2-hydroxyisobutyrate	0.6576	1.0291	1.835	2.4978	11.8917	1.7148	19.7347	8.0266	23.7016	0.5572	11.6965	1.2071	0.6099	1.0176	0.8073	1.119	1.5865	2.5758	2.0711	16.5667	0.94	17.9494	3.2372	8.8185	1.3231	3.0931	1.8251	3.6256	0.85	3.4765	3.4784	1.3161	4.9472	0.7839	0.8584
gamma-glutamylhistidine	1.407	1.1965	1.2709	0.9994	0.9636	1.1945	1.1189	0.6282	0.6525	0.5935	1.2484	1.0158	2.0126	0.5948	1.5134	1.1691	1.159	1.1775	1.6861	0.82	1.4277	1.7958	0.9809	0.5223	0.8548	1.0177	1.338	1.2029	1.2441	1.2094	3.6359	1.446	0.5322	1.1845	1.0006
gamma-glutamylisoleucine*	2.0434	2.013	3.3037	1.4408	0.1443	1.7619	2.1084	0.1443	0.42	1.0345	2.6248	0.5516	1.6527	0.367	1.5894	1.8003	2.0408	2.0876	2.2276	1.0916	1.9762	4.244	1.672	1.83	1.2555	1.2309	2.6065	1.4491	1.4495	2.8678	4.3763	0.2556	1.0558	0.8796	1.6455
gamma-glutamyl-alpha-lysine	1.489	1.5566	1.9847	0.0674	0.0674	1.2389	1.0683	0.6376	0.0674	1.1631	1.3837	1.2197	1.6536	0.856	1.8598	1.735	1.1794	1.8158	1.7186	0.9459	2.0942	2.2953	0.9477	0.8814	1.406	0.904	1.9188	1.5794	1.3753	1.543	0.0674	1.0104	1.0521	1.3211	1.5872
gamma-glutamyl-epsilon-lysine	1.1459	1.4016	0.1379	7.9531	4.4922	1.9775	4.3923	0.5077	2.9043	1.9226	2.6885	1.4769	2.3714	1.2745	1.9861	1.7254	1.9523	2.8222	2.9704	1.4049	2.0927	3.4391	2.0347	1.7423	1.0238	2.175	2.4741	2.0823	1.5213	3.2571	34.4083	1.1072	1.8395	1.427	1.9962
gamma-glutamylmethionine	2.6156	2.0702	13.9367	3.6865	0.1219	1.402	1.8094	0.1219	0.428	1.0067	3.7278	1.7491	5.4832	0.2649	2.8798	2.6013	7.2117	1.9232	4.4143	2.4729	3.509	6.4129	4.8708	1.2463	0.9933	1.2159	3.0207	0.861	5.1719	2.7307	3.5937	0.3842	0.7934	0.5808	5.5194
gamma-glutamylphenylalanine	0.4072	0.5739	0.4072	1.3991	0.4072	1.3628	0.4072	0.4072	2.0644	0.9154	5.5883	0.4072	1.5082	0.4652	0.6664	1.8832	0.4072	1.8947	2.0961	3.1049	1.404	2.4238	0.8217	1.8907	0.6608	1.0	1.541	1.1428	1.0532	1.7624	2.5585	0.4072	1.4098	0.7724	0.8232
isoleucylhydroxyproline*	0.1825	0.1825	0.1825	3.6402	2.021	0.5762	2.7645	0.9809	1.5768	0.6363	1.2261	0.1825	0.6347	0.1825	0.1825	0.1825	0.1825	0.1825	0.8345	1.4588	0.1901	3.2683	0.8698	2.2721	0.1825	1.1596	0.1825	0.5072	0.1825	0.1825	2.6119	0.1825	0.5403	0.1825	0.4036
